tool_id,old_mcp_name,new_mcp_name,root,provider,action,root_source
weather.get_current,weather.conditions.current,weather.weather.get_current,weather,weather,get_current,mcpname_reuse
weather.get_forecast,weather.conditions.forecast,weather.weather.get_forecast,weather,weather,get_forecast,mcpname_reuse
weather.get_alerts,weather.alerts.get,weather.weather.get_alerts,weather,weather,get_alerts,mcpname_reuse
weather.get_history,weather.conditions.history,weather.weather.get_history,weather,weather,get_history,mcpname_reuse
weather.air_quality,weather.air.quality,weather.weather.air_quality,weather,weather,air_quality,mcpname_reuse
weather.geocode,weather.location.geocode,weather.weather.geocode,weather,weather,geocode,mcpname_reuse
weather.compare,weather.conditions.compare,weather.weather.compare,weather,weather,compare,mcpname_reuse
crypto.get_price,crypto.price.current,crypto.crypto.get_price,crypto,crypto,get_price,mcpname_reuse
coingecko.get_market,crypto.market.overview,crypto.coingecko.get_market,crypto,coingecko,get_market,mcpname_reuse
crypto.coin_detail,crypto.coin.detail,crypto.crypto.coin_detail,crypto,crypto,coin_detail,mcpname_reuse
crypto.price_history,crypto.price.history,crypto.crypto.price_history,crypto,crypto,price_history,mcpname_reuse
crypto.trending,crypto.trending.get,crypto.crypto.trending,crypto,crypto,trending,mcpname_reuse
crypto.global,crypto.global.stats,crypto.crypto.global,crypto,crypto,global,mcpname_reuse
crypto.dex_pools,crypto.dex.pools,crypto.crypto.dex_pools,crypto,crypto,dex_pools,mcpname_reuse
crypto.token_by_address,crypto.token.lookup,crypto.crypto.token_by_address,crypto,crypto,token_by_address,mcpname_reuse
crypto.search,crypto.coin.search,crypto.crypto.search,crypto,crypto,search,mcpname_reuse
polymarket.search,polymarket.market.search,crypto.polymarket.search,crypto,polymarket,search,category_fallback
polymarket.market_detail,polymarket.market.detail,crypto.polymarket.market_detail,crypto,polymarket,market_detail,category_fallback
polymarket.prices,polymarket.market.prices,crypto.polymarket.prices,crypto,polymarket,prices,category_fallback
polymarket.price_history,polymarket.market.history,crypto.polymarket.price_history,crypto,polymarket,price_history,category_fallback
polymarket.get_orderbook,polymarket.market.orderbook,crypto.polymarket.get_orderbook,crypto,polymarket,get_orderbook,category_fallback
polymarket.trending,polymarket.market.trending,crypto.polymarket.trending,crypto,polymarket,trending,category_fallback
polymarket.place_order,polymarket.trading.place_order,crypto.polymarket.place_order,crypto,polymarket,place_order,category_fallback
polymarket.cancel_order,polymarket.trading.cancel_order,crypto.polymarket.cancel_order,crypto,polymarket,cancel_order,category_fallback
polymarket.open_orders,polymarket.trading.open_orders,crypto.polymarket.open_orders,crypto,polymarket,open_orders,category_fallback
polymarket.trade_history,polymarket.trading.history,crypto.polymarket.trade_history,crypto,polymarket,trade_history,category_fallback
polymarket.balance,polymarket.account.balance,crypto.polymarket.balance,crypto,polymarket,balance,category_fallback
sabre.search_flights,sabre.flights.search,travel.sabre.search_flights,travel,sabre,search_flights,category_fallback
sabre.destination_finder,sabre.flights.destinations,travel.sabre.destination_finder,travel,sabre,destination_finder,category_fallback
sabre.airline_lookup,sabre.reference.airline,travel.sabre.airline_lookup,travel,sabre,airline_lookup,category_fallback
sabre.travel_themes,sabre.reference.themes,travel.sabre.travel_themes,travel,sabre,travel_themes,category_fallback
